SubjectID,Document1,Document2,Similarity,Time,SBert
1,15,4,1,25.417,0.038636356592178345
1,8,7,4,9.764,0.25019532442092896
2,17,1,1,56.061,0.11225069314241409
2,19,1,1,39.767,0.019002161920070648
2,20,1,1,37.344,0.08869071304798126
2,25,1,1,14.371,0.14443954825401306
2,33,1,5,7.962,0.5729367136955261
2,40,1,1,22.262,0.07866460829973221
2,50,1,4,15.172,0.32890135049819946
2,4,2,1,37.805,0.05786840245127678
2,15,2,1,35.301,0.09812184423208237
2,36,2,1,20.6,0.1553478091955185
2,12,3,3,16.023,0.2647494077682495
2,14,3,2,51.434,0.18022394180297852
2,18,3,4,45.145,0.3036116361618042
2,21,3,1,35.581,0.11694954335689545
2,37,3,2,15.973,0.43509262800216675
2,21,4,3,8.432,0.47822755575180054
2,22,4,1,5.558,0.07081949710845947
2,4,5,2,62.469,0.09438025951385498
2,8,5,1,37.413,0.1685461401939392
2,14,5,1,35.4,0.03116868995130062
2,37,5,1,32.977,0.24197085201740265
2,10,6,1,4.537,-0.10912993550300598
2,23,6,1,4.557,0.1148863136768341
2,37,6,1,14.201,0.013855068013072014
2,4,7,4,20.119,0.39665400981903076
2,6,7,1,3.044,0.022096585482358932
2,10,7,2,52.986,0.21574844419956207
2,19,7,1,25.958,0.06533520668745041
2,32,7,1,27.71,0.17961783707141876
2,33,7,1,126.872,-0.013705413788557053
2,36,7,3,39.016,0.39910733699798584
2,37,7,1,54.078,0.24105197191238403
2,46,7,1,16.513,0.08298464119434357
2,11,8,3,71.763,0.23068097233772278
2,31,8,1,5.778,0.27125436067581177
2,38,8,1,40.208,0.01328757032752037
2,21,9,1,23.804,0.04614634811878204
2,23,9,1,7.531,0.013748063705861568
2,38,9,1,15.132,0.12316461652517319
2,49,9,1,46.386,0.01596536859869957
2,50,9,1,31.916,0.03235926479101181
2,21,10,3,13.189,0.3880249261856079
2,25,10,1,21.48,0.04390355199575424
2,31,10,1,11.937,0.11306464672088623
2,42,10,3,3.985,0.18111824989318848
2,49,10,1,21.541,-0.04342556744813919
2,13,11,1,19.899,0.06423518806695938
2,19,11,1,11.277,0.06049836426973343
2,25,11,1,5.448,0.11750099062919617
2,35,11,1,13.39,0.03832634165883064
2,44,11,3,5.057,0.33694568276405334
2,45,11,1,21.181,0.23132872581481934
2,49,11,3,13.409,0.11563822627067566
2,16,12,4,9.413,0.5335139632225037
2,6,13,1,44.414,0.0865379199385643
2,30,13,1,15.522,0.2159254252910614
2,40,13,1,22.322,0.020004909485578537
2,43,13,1,31.044,-0.013822420500218868
2,50,13,1,25.437,0.2039065659046173
2,4,14,1,20.74,0.09369715303182602
2,10,14,1,21.371,0.012898849323391914
2,20,15,1,6.61,0.019746311008930206
2,26,15,1,28.301,0.04214933142066002
2,36,15,1,10.054,0.054733309894800186
2,4,16,3,42.592,0.3279837965965271
2,29,16,2,25.196,0.17397430539131165
2,38,16,1,7.09,0.12064789235591888
2,48,16,1,19.819,0.28639692068099976
2,50,16,1,22.523,0.14830662310123444
2,12,17,1,10.675,0.18039247393608093
2,26,17,1,18.106,-0.08384236693382263
2,41,17,1,14.881,-0.020905639976263046
2,43,17,1,20.3,0.06826132535934448
2,49,17,1,12.408,0.05362463742494583
2,50,17,1,19.839,0.13696503639221191
2,8,18,1,6.459,0.07720793783664703
2,10,18,1,25.537,0.13240329921245575
2,25,18,3,9.023,0.13114304840564728
2,2,20,1,4.587,0.14687597751617432
2,5,20,1,29.212,0.016311917454004288
2,21,20,1,25.897,0.15271873772144318
2,23,20,1,3.575,-0.011762558482587337
2,31,20,1,41.94,0.0026544351130723953
2,38,20,2,13.269,0.1235562115907669
2,44,20,1,19.017,0.11035313457250595
2,47,20,1,23.474,0.0383262075483799
2,8,21,4,40.288,0.6541401743888855
2,36,21,4,21.931,0.25273510813713074
2,45,21,1,9.334,0.12857328355312347
2,27,22,1,27.34,-0.024683281779289246
2,28,22,1,33.308,0.08267448097467422
2,36,22,1,10.886,0.07033821940422058
2,46,22,2,13.299,0.056586846709251404
2,11,23,3,14.661,0.14128336310386658
2,13,23,1,9.794,0.34467005729675293
2,19,23,1,20.049,0.016039399430155754
2,21,23,2,7.932,0.16914939880371094
2,26,23,1,45.606,0.10363323986530304
2,46,23,1,21.841,0.12011823058128357
2,8,24,1,22.642,0.05544785410165787
2,10,24,3,25.637,0.06449234485626221
2,14,24,1,47.418,-0.11201383173465729
2,17,24,3,7.54,0.35580193996429443
2,37,24,1,38.456,0.0412416085600853
2,6,25,1,6.419,0.1522822380065918
2,12,25,1,22.022,0.23410432040691376
2,13,25,1,10.304,0.14042314887046814
2,36,25,1,9.073,0.15520504117012024
2,47,25,1,19.659,0.08203960210084915
2,2,26,1,20.86,0.0453387089073658
2,9,26,1,44.354,0.01849028840661049
2,27,26,1,8.392,-0.025136932730674744
2,40,26,1,16.724,-0.019422469660639763
2,50,26,1,8.862,0.02790188230574131
2,4,27,3,19.628,0.28630056977272034
2,13,27,2,8.322,0.15721437335014343
2,42,27,3,40.888,0.15147258341312408
