Document_1,Document_2,Similarity_avg,Similarity_avg_normalized,Similarity_word2vec,Similarity_doc2vec,Similarity_tf_idf
1,2,1.5,0.125,0.1800307749430834,0.5556227744000461,0.02137814790225184
1,3,1.2,0.0499999999999999,0.5395984344078157,0.4577072495576811,0.0047244206556257655
1,4,1.0,0.0,0.2740005262677782,0.3714706445038097,0.029829607248340127
1,5,1.5,0.125,0.3921101823340649,0.4924973751354539,0.0015933236525132192
1,6,2.5,0.375,0.2520455677322644,0.4758268138992718,0.01368811800806179
1,7,1.3,0.075,0.328519887457477,0.4039432431533765,0.017215329741254927
1,8,1.2,0.0499999999999999,0.3567647434971464,0.3379158463040195,0.022774427778144042
1,9,1.0,0.0,0.46422199161969,0.5718182519509725,0.06697415664658779
1,10,1.3,0.075,0.3083375240171467,0.3550441278326493,0.003924863896754783
1,11,1.3,0.075,0.3402313699831636,0.3564500936173784,0.003455996216262881
1,12,1.3,0.075,0.3701411528507011,0.3623415556094214,0.0018473843646023885
1,13,1.2,0.0499999999999999,0.2325676435538747,0.583938878988306,0.01776627904731791
1,14,5.0,1.0,0.9652507316724752,0.5546400173765622,0.38408477227103843
1,15,1.3,0.075,0.3025741386785713,0.5955104082034617,0.04827503901417371
1,16,1.6,0.15,0.4234547855824658,0.4115951254716299,0.001953485202830216
1,17,1.2,0.0499999999999999,0.4337896567487755,0.4633263043016165,0.003238474722328594
1,18,1.4,0.0999999999999999,0.2994183219329785,0.5739928573437187,0.020365270075621736
1,19,1.1,0.025,0.2655279511787712,0.5819767393430507,0.014758145097728253
1,20,1.3,0.075,0.4326313402604376,0.4621264203766022,0.018215497655678488
1,21,1.0,0.0,0.4254822174152458,0.4411415184481274,0.007733587137860751
1,22,2.6,0.4,0.2697832650118489,0.4754655821589544,7.218783143676792e-07
1,23,1.1,0.025,0.0951107595057557,0.4928432946980398,0.0019359290257626883
1,24,1.0,0.0,0.4495090971220795,0.4423263368044092,0.013286511065140297
1,25,1.3,0.075,0.2871453862095481,0.5572343900794839,0.0022127992158708803
1,26,1.1111111111111112,0.0277777777777777,0.3975479495080592,0.3436152818922159,0.017180199593169142
1,27,1.1,0.025,0.3313569508773429,0.382303914706543,0.0017694469035252265
1,28,1.4,0.0999999999999999,0.5344914296675001,0.4944371583739644,0.0032466285063444994
1,29,1.7,0.175,0.3879537148525251,0.4906340687873508,0.010089389230672133
1,30,1.5,0.125,0.3871830704548779,0.4354778620661127,0.0015755056828844068
1,31,1.3,0.075,0.4875528158763592,0.4916012098761075,0.005020117335830179
1,32,2.4,0.35,0.7828028609075304,0.6029412208254891,0.012780730567498403
1,33,4.8,0.95,0.2763790609172709,0.4781006522907192,0.1792292330693368
1,34,1.1,0.025,0.1974192178936092,0.4779456040673815,8.82599271834297e-05
1,35,1.6666666666666667,0.1666666666666666,0.4425611959091921,0.4593681509213687,7.657119033322997e-05
1,36,1.5,0.125,0.484776719184137,0.373576053353277,0.0019547435491734915
1,37,1.1,0.025,0.4082517390639281,0.5916267692560028,0.019360013351884496
1,38,1.2727272727272727,0.0681818181818181,0.1642272375531334,0.4870503262658279,0.022761146613472408
1,39,1.8,0.2,0.1968181562141832,0.4730295037189524,0.018312611901025302
1,40,1.1,0.025,0.3433056498253564,0.4244952754150975,0.00137678121920412
1,41,1.2,0.0499999999999999,0.2704841583618597,0.4777960433477939,0.0027665036857161406
1,42,1.2,0.0499999999999999,0.1756306132004297,0.5162006134891431,0.0034463586591815306
